,Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
19,20,Grand Theft Auto V,Action,M,PS3,Rockstar Games,Rockstar North,9.4,,,20.32,6.37,9.85,0.99,3.12,2013.0
20,21,Grand Theft Auto V,Action,M,PS4,Rockstar Games,Rockstar North,9.7,,,19.39,6.06,9.71,0.6,3.02,2014.0
68,69,FIFA 18,Sports,E,PS4,EA Sports,EA Vancouver,8.3,,,11.8,1.27,8.64,0.15,1.73,2017.0
76,77,FIFA 17,Sports,E,PS4,Electronic Arts,EA Canada,8.9,,,10.94,1.26,7.95,0.12,1.61,2016.0
100,101,FIFA 19,Sports,E,PS4,Electronic Arts,EA Sports,,,,9.15,0.84,6.87,0.1,1.34,2018.0
123,124,The Sims 3,Simulation,T,PC,Electronic Arts,EA Redwood Shores,8.5,,,7.96,1.01,6.46,,0.5,2009.0
50,51,Call of Duty: WWII,Shooter,M,PS4,Activision,Sledgehammer Games,8.0,,,13.4,4.67,6.21,0.4,2.12,2017.0
45,46,Red Dead Redemption 2,Action-Adventure,M,PS4,Rockstar Games,Rockstar Games,9.8,,,13.94,5.26,6.21,0.21,2.26,2018.0
34,35,Call of Duty: Black Ops 3,Shooter,M,PS4,Activision,Treyarch,,,,15.09,6.18,6.05,0.41,2.44,2015.0
47,48,Call of Duty: Black Ops II,Shooter,M,PS3,Activision,Treyarch,,,,13.8,4.99,5.88,0.65,2.28,2012.0
