,Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
19,20,Grand Theft Auto V,Action,M,PS3,Rockstar Games,Rockstar North,9.4,,,20.32,6.37,9.85,0.99,3.12,2013.0
20,21,Grand Theft Auto V,Action,M,PS4,Rockstar Games,Rockstar North,9.7,,,19.39,6.06,9.71,0.6,3.02,2014.0
421,422,Pro Evolution Soccer 2008,Sports,E,PS2,Konami,Konami,8.2,,,3.63,0.05,0.0,0.64,2.93,2008.0
524,525,FIFA Soccer 08,Sports,E,PS2,EA Sports,EA Canada,,,,3.14,0.68,0.0,,2.46,2007.0
34,35,Call of Duty: Black Ops 3,Shooter,M,PS4,Activision,Treyarch,,,,15.09,6.18,6.05,0.41,2.44,2015.0
47,48,Call of Duty: Black Ops II,Shooter,M,PS3,Activision,Treyarch,,,,13.8,4.99,5.88,0.65,2.28,2012.0
45,46,Red Dead Redemption 2,Action-Adventure,M,PS4,Rockstar Games,Rockstar Games,9.8,,,13.94,5.26,6.21,0.21,2.26,2018.0
50,51,Call of Duty: WWII,Shooter,M,PS4,Activision,Sledgehammer Games,8.0,,,13.4,4.67,6.21,0.4,2.12,2017.0
726,727,PES 2009: Pro Evolution Soccer,Sports,E,PS2,Konami,Konami,,,,2.5,0.13,0.07,0.26,2.05,2008.0
336,337,Metal Gear Solid 3: Snake Eater,Action,M,PS2,Konami,KCEJ / Kojima Productions,9.0,,,4.23,1.46,0.0,0.83,1.93,2004.0
