,Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
582,583,Yokai Watch 2: Psychic Specters,Role-Playing,E10,3DS,Nintendo,Level 5,,,,2.95,0.12,0.12,2.69,0.02,2017.0
897,898,Yu-Gi-Oh: Duel Monsters 4,Role-Playing,,GB,Konami,Konami,,,,2.18,,,2.17,0.01,2000.0
284,285,Monster Hunter: World,Action,T,PS4,Capcom,Capcom,9.3,9.0,,4.67,1.03,1.06,2.17,0.42,2018.0
715,716,Hot Shots Golf,Sports,,PS,Sony Computer Entertainment,Camelot Software Planning,,,,2.56,0.26,0.17,2.13,,1998.0
635,636,Hot Shots Golf,Sports,,PS,Sony Computer Entertainment,Camelot Software Planning,,,,2.79,0.29,0.2,2.13,0.18,1998.0
978,979,Famista '89 - Kaimaku Han!!,Sports,,NES,Namco,Namco,,,,2.05,,,2.05,,1989.0
881,882,R.B.I. Baseball,Sports,,NES,Tengen,Namco,,,,2.2,0.15,,2.05,,1988.0
943,944,Derby Stallion,Sports,,PS,ASCII Entertainment,ParityBit,,,,2.09,,,1.96,0.14,1997.0
216,217,Final Fantasy XIII,Role-Playing,T,PS3,Square Enix,Square Enix,8.0,9.2,,5.35,1.75,1.23,1.87,0.51,2010.0
1134,1135,Dragon Quest XI,Role-Playing,,3DS,Square Enix,Square Enix,,,,1.82,,,1.82,,2017.0
